WARNING: Logcat was not cleared on the device itself because 'logcat -c' timed out.
2024-11-04 17:39:35.363 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -4.31505823135376, Gravity-Corrected Acc: -5.1780698776245115, Filtered Acc: -5.069665080299575, Pre-Kalman Displacement: -0.5409979128526082, Post-Kalman Displacement: -0.06, Velocity: -0.5211467237656084, dt: 0.009, Final Depth (cm): -6.0, Kalman State: [-0.5409979128526082, -5.030606071726581]
2024-11-04 17:39:35.523 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 11.056135177612305, Gravity-Corrected Acc: 13.267362213134765, Filtered Acc: 9.925664031469436, Pre-Kalman Displacement: -1.4233699592357314, Post-Kalman Displacement: -0.06, Velocity: -1.4133741153060515, dt: 0.01, Final Depth (cm): -6.0, Kalman State: [-1.4233699592357314, 8.361736217257619]
2024-11-04 17:39:35.534 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 11.063488006591797, Gravity-Corrected Acc: 13.276185607910156, Filtered Acc: 11.935976977333869, Pre-Kalman Displacement: -1.3102259402325593, Post-Kalman Displacement: -0.06, Velocity: -1.3040659102620349, dt: 0.01, Final Depth (cm): -6.0, Kalman State: [-1.3102259402325593, 11.190000030069598]
2024-11-04 17:39:35.544 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 9.834281921386719, Gravity-Corrected Acc: 11.801138305664063, Filtered Acc: 11.855073774331984, Pre-Kalman Displacement: -1.1876291216456203, Post-Kalman Displacement: -0.06, Velocity: -1.1851106565037055, dt: 0.01, Final Depth (cm): -6.0, Kalman State: [-1.1876291216456203, 11.71626913143906]
2024-11-04 17:39:35.554 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 43.53603744506836, Gravity-Corrected Acc: 52.24324493408203, Filtered Acc: 36.08797647018201, Pre-Kalman Displacement: -0.9627156714268099, Post-Kalman Displacement: -0.06, Velocity: -0.9453954052811355, dt: 0.01, Final Depth (cm): -6.0, Kalman State: [-0.9627156714268099, 31.001334187546473]
2024-11-04 17:39:35.585 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 14.882071495056152, Gravity-Corrected Acc: 17.85848579406738, Filtered Acc: 25.15028206451323, Pre-Kalman Displacement: -1.5303951791517199, Post-Kalman Displacement: -0.06, Velocity: -1.9176123378229792, dt: 0.03, Final Depth (cm): -6.0, Kalman State: [-1.5303951791517199, 26.369520306110378]
2024-11-04 17:39:35.603 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -21.8929500579834, Gravity-Corrected Acc: -26.271540069580077, Filtered Acc: -5.702811215942752, Pre-Kalman Displacement: -1.0521306886632769, Post-Kalman Displacement: -0.06, Velocity: -1.0297368408931313, dt: 0.019, Final Depth (cm): -6.0, Kalman State: [-1.0521306886632769, 0.9911567224711035]
2024-11-04 17:39:35.611 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 6.942056655883789, Gravity-Corrected Acc: 8.330467987060546, Filtered Acc: 2.7171563058592265, Pre-Kalman Displacement: -0.5261387363496873, Post-Kalman Displacement: -0.06, Velocity: -0.38982652304065774, dt: 0.007, Final Depth (cm): -6.0, Kalman State: [-0.5261387363496873, 2.3570965397494366]
2024-11-04 17:39:35.672 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 6.651356220245361, Gravity-Corrected Acc: 7.981627464294434, Filtered Acc: 5.875839000920351, Pre-Kalman Displacement: -2.593399859321319, Post-Kalman Displacement: -0.06, Velocity: -3.1863663495642305, dt: 0.062, Final Depth (cm): -6.0, Kalman State: [-2.593399859321319, 5.135329368719798]
2024-11-04 17:39:35.681 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 0.4349821209907532, Gravity-Corrected Acc: 0.5219785451889037, Filtered Acc: 2.6635227274814826, Pre-Kalman Displacement: -0.8319001175888279, Post-Kalman Displacement: -0.06, Velocity: -0.37698659819145475, dt: 0.008, Final Depth (cm): -6.0, Kalman State: [-0.8319001175888279, 3.1802261413893915]
2024-11-04 17:39:35.689 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 0.054328590631484985, Gravity-Corrected Acc: 0.06519430875778198, Filtered Acc: 1.1045256762472622, Pre-Kalman Displacement: -0.45530081585615095, Post-Kalman Displacement: -0.06, Velocity: -0.3619144045765398, dt: 0.008, Final Depth (cm): -6.0, Kalman State: [-0.45530081585615095, 1.5378803153515168]
2024-11-04 17:39:35.696 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 3.0380077362060547, Gravity-Corrected Acc: 3.6456092834472655, Filtered Acc: 2.6291758405672643, Pre-Kalman Displacement: -0.4006663300347746, Post-Kalman Displacement: -0.06, Velocity: -0.3903520483229411, dt: 0.009, Final Depth (cm): -6.0, Kalman State: [-0.4006663300347746, 2.4014251387065113]
2024-11-04 17:39:35.704 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 11.538553237915039, Gravity-Corrected Acc: 13.846263885498047, Filtered Acc: 9.359428667525734, Pre-Kalman Displacement: -0.28537668060290283, Post-Kalman Displacement: -0.06, Velocity: -0.26164703291729585, dt: 0.007, Final Depth (cm): -6.0, Kalman State: [-0.28537668060290283, 7.907237648247314]
2024-11-04 17:39:35.712 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 9.161637306213379, Gravity-Corrected Acc: 10.993964767456054, Filtered Acc: 10.340150327483926, Pre-Kalman Displacement: -0.19987507233551913, Post-Kalman Displacement: -0.06, Velocity: -0.19269850643476205, dt: 0.007, Final Depth (cm): -6.0, Kalman State: [-0.19987507233551913, 9.832380528796742]
2024-11-04 17:39:35.720 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 2.184999465942383, Gravity-Corrected Acc: 2.6219993591308595, Filtered Acc: 5.709259746472086, Pre-Kalman Displacement: -0.1499456423894943, Post-Kalman Displacement: -0.06, Velocity: -0.15602922420104698, dt: 0.008, Final Depth (cm): -6.0, Kalman State: [-0.1499456423894943, 6.569796859329337]
