2024-11-04 17:39:27.042 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 4.336658000946045, Gravity-Corrected Acc: 5.2039896011352536, Filtered Acc: 24.114066703236578, Pre-Kalman Displacement: 0.0327955389428288, Post-Kalman Displacement: -0.004347415700354455, Velocity: 0.03431246961911007, dt: 0.002, Final Depth (cm): -0.43474157003544556, Kalman State: [0.0327955389428288, 28.297976131106964]
2024-11-04 17:39:27.044 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -22.909832000732422, Gravity-Corrected Acc: -27.491798400878906, Filtered Acc: -6.849452359232712, Pre-Kalman Displacement: 0.03183516690090869, Post-Kalman Displacement: 0.03183516690090869, Velocity: 0.025788541981556966, dt: 0.001, Final Depth (cm): 3.1835166900908693, Kalman State: [0.03183516690090869, 0.4862420470102258]
2024-11-04 17:39:27.047 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 6.973006725311279, Gravity-Corrected Acc: 8.367608070373535, Filtered Acc: 2.280783898531036, Pre-Kalman Displacement: 0.04417119768703305, Post-Kalman Displacement: 0.04417119768703305, Velocity: 0.047008415502412255, dt: 0.002, Final Depth (cm): 4.417119768703305, Kalman State: [0.04417119768703305, 1.9062421647033057]
2024-11-04 17:39:27.049 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -0.03458838537335396, Gravity-Corrected Acc: -0.041506062448024746, Filtered Acc: 0.8874099219435995, Pre-Kalman Displacement: 0.09007519049254145, Post-Kalman Displacement: 0.06, Velocity: 0.10035321864577378, dt: 0.004, Final Depth (cm): 6.0, Kalman State: [0.09007519049254145, 1.100059534582981]
2024-11-04 17:39:27.051 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 0.878266453742981, Gravity-Corrected Acc: 1.053919744491577, Filtered Acc: 0.987315815472386, Pre-Kalman Displacement: 0.060438096483462524, Post-Kalman Displacement: 0.06, Velocity: 0.05205133506030287, dt: 0.002, Final Depth (cm): 6.0, Kalman State: [0.060438096483462524, 1.010843783351298]
2024-11-04 17:39:27.052 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: -0.37923651933670044, Gravity-Corrected Acc: -0.4550838232040405, Filtered Acc: 0.1218760322665301, Pre-Kalman Displacement: 0.03382422937384841, Post-Kalman Displacement: 0.03382422937384841, Velocity: 0.026580263454020894, dt: 0.001, Final Depth (cm): 3.382422937384841, Kalman State: [0.03382422937384841, 0.3074130964645362]
2024-11-04 17:39:27.054 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 2.0875353813171387, Gravity-Corrected Acc: 2.5050424575805663, Filtered Acc: 1.5517758874549519, Pre-Kalman Displacement: 0.02886343575962836, Post-Kalman Displacement: 0.02886343575962836, Velocity: 0.027417089413881636, dt: 0.001, Final Depth (cm): 2.886343575962836, Kalman State: [0.02886343575962836, 1.2920620001268386]
2024-11-04 17:39:27.056 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 7.2823357582092285, Gravity-Corrected Acc: 8.738802909851074, Filtered Acc: 5.863992100892625, Pre-Kalman Displacement: 0.05614349068284172, Post-Kalman Displacement: 0.05614349068284172, Velocity: 0.062249946816110846, dt: 0.002, Final Depth (cm): 5.614349068284172, Kalman State: [0.05614349068284172, 4.909776790071081]
2024-11-04 17:39:27.057 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 13.842591285705566, Gravity-Corrected Acc: 16.61110954284668, Filtered Acc: 12.312262566065058, Pre-Kalman Displacement: 0.07794061734532388, Post-Kalman Displacement: 0.06, Velocity: 0.08042620148306853, dt: 0.002, Final Depth (cm): 6.0, Kalman State: [0.07794061734532388, 10.767274675543636]
2024-11-04 17:39:27.061 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 7.320773124694824, Gravity-Corrected Acc: 8.78492774963379, Filtered Acc: 10.195861676206297, Pre-Kalman Displacement: 0.14512409056788955, Post-Kalman Displacement: 0.06, Velocity: 0.15440148858801, dt: 0.003, Final Depth (cm): 6.0, Kalman State: [0.14512409056788955, 10.315127249879815]
2024-11-04 17:39:27.064 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 3.582242965698242, Gravity-Corrected Acc: 4.2986915588378904, Filtered Acc: 6.657559605785253, Pre-Kalman Displacement: 0.12911240685725706, Post-Kalman Displacement: 0.06, Velocity: 0.11978774700733144, dt: 0.002, Final Depth (cm): 6.0, Kalman State: [0.12911240685725706, 7.420935143311132]
2024-11-04 17:39:27.065 21945-21945 CPR Data                com.example.pushoflife               D  Original Acc: 3.5796923637390137, Gravity-Corrected Acc: 4.295630836486816, Filtered Acc: 5.240402344206191, Pre-Kalman Displacement: 0.1876633394695297, Post-Kalman Displacement: 0.06, Velocity: 0.19752856343598452, dt: 0.003, Final Depth (cm): 6.0, Kalman State: [0.1876633394695297, 5.6955110803113564]
