2024-11-04 17:35:05.250 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.504302978515625, Gravity-Corrected Acc: -1.80516357421875, Filtered Acc: -1.862394871176912, Velocity: 0.22725304516815156, dt: 0.009, Displacement (cm): 6.0
2024-11-04 17:35:05.259 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.5590367317199707, Gravity-Corrected Acc: -1.8708440780639648, Filtered Acc: -1.8674643953091437, Velocity: 0.2338540871877376, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.272 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.4929003715515137, Gravity-Corrected Acc: -1.7914804458618163, Filtered Acc: -1.821874025640747, Velocity: 0.2800296136078854, dt: 0.013, Displacement (cm): 6.0
2024-11-04 17:35:05.279 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.5825484991073608, Gravity-Corrected Acc: -1.8990581989288329, Filtered Acc: -1.8681845296135986, Velocity: 0.1575656818453734, dt: 0.008, Displacement (cm): 6.0
2024-11-04 17:35:05.289 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.5624037981033325, Gravity-Corrected Acc: -1.874884557723999, Filtered Acc: -1.8722045464798387, Velocity: 0.17825515692624924, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.299 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.3581914901733398, Gravity-Corrected Acc: -1.6298297882080077, Filtered Acc: -1.72677969151674, Velocity: 0.16026023573626635, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.310 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.2418196201324463, Gravity-Corrected Acc: -1.4901835441589355, Filtered Acc: -1.5848220031020572, Velocity: 0.14370222726317236, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.319 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.0357195138931274, Gravity-Corrected Acc: -1.242863416671753, Filtered Acc: -1.3796468512438747, Velocity: 0.1288798829914427, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.331 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -0.8204662799835205, Gravity-Corrected Acc: -0.9845595359802246, Filtered Acc: -1.1425944620856847, Velocity: 0.1395224117097539, dt: 0.012, Displacement (cm): 6.0
2024-11-04 17:35:05.340 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -0.7221245765686035, Gravity-Corrected Acc: -0.8665494918823242, Filtered Acc: -0.9769674799636684, Velocity: 0.08453669337163877, dt: 0.008, Displacement (cm): 6.0
2024-11-04 17:35:05.350 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -0.2798205614089966, Gravity-Corrected Acc: -0.3357846736907959, Filtered Acc: -0.5922577961999449, Velocity: 0.09782474033373008, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.359 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 0.25784826278686523, Gravity-Corrected Acc: 0.3094179153442383, Filtered Acc: -0.05125236927343499, Velocity: 0.09460718950636318, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.369 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 0.9078158736228943, Gravity-Corrected Acc: 1.089379048347473, Filtered Acc: 0.6331264812991098, Velocity: 0.09751656006649155, dt: 0.01, Displacement (cm): 6.0
